id,person_id,movie_id,rate
32221,1642,68,"(1642, 0.44, array([5], dtype=int64))"
32222,1642,69,"(1642, 0.44, array([5], dtype=int64))"
32223,1642,142,"(1642, 0.44, array([5], dtype=int64))"
32224,1642,77,"(1642, 0.44, array([5], dtype=int64))"
32225,1642,128,"(1642, 0.44, array([5], dtype=int64))"
32226,1642,198,"(1642, 0.44, array([5], dtype=int64))"
32227,1642,130,"(1642, 0.44, array([5], dtype=int64))"
32228,1642,79,"(1642, 0.44, array([5], dtype=int64))"
32229,1642,74,"(1642, 0.44, array([5], dtype=int64))"
32230,1642,15,"(1642, 0.44, array([5], dtype=int64))"
32231,1642,24,"(1642, 0.44, array([5], dtype=int64))"
32232,1642,26,"(1642, 0.44, array([5], dtype=int64))"
32233,1642,94,"(1642, 0.44, array([5], dtype=int64))"
32234,1642,147,"(1642, 0.44, array([5], dtype=int64))"
32235,1642,148,"(1642, 0.44, array([5], dtype=int64))"
32236,1642,91,"(1642, 0.44, array([5], dtype=int64))"
32237,1642,30,"(1642, 0.44, array([5], dtype=int64))"
32238,1642,90,"(1642, 0.44, array([5], dtype=int64))"
32239,1642,169,"(1642, 0.44, array([5], dtype=int64))"
32240,1642,38,"(1642, 0.44, array([5], dtype=int64))"
32241,1642,173,"(1642, 0.44, array([5], dtype=int64))"
32242,1642,36,"(1642, 0.44, array([5], dtype=int64))"
32243,1642,111,"(1642, 0.44, array([5], dtype=int64))"
32244,1642,104,"(1642, 0.44, array([5], dtype=int64))"
32245,1642,184,"(1642, 0.44, array([5], dtype=int64))"
32246,1642,52,"(1642, 0.44, array([5], dtype=int64))"
32247,1642,178,"(1642, 0.44, array([5], dtype=int64))"
32248,1642,58,"(1642, 0.44, array([5], dtype=int64))"
32249,1642,126,"(1642, 0.44, array([5], dtype=int64))"
32250,1642,57,"(1642, 0.44, array([5], dtype=int64))"
32251,1102,68,"(1102, 0.28, array([2], dtype=int64))"
32252,1102,136,"(1102, 0.28, array([3], dtype=int64))"
32253,1102,139,"(1102, 0.28, array([2], dtype=int64))"
32254,1102,3,"(1102, 0.28, array([3], dtype=int64))"
32255,1102,71,"(1102, 0.28, array([3], dtype=int64))"
32256,1102,140,"(1102, 0.28, array([3], dtype=int64))"
32257,1102,129,"(1102, 0.28, array([2], dtype=int64))"
32258,1102,197,"(1102, 0.28, array([2], dtype=int64))"
32259,1102,196,"(1102, 0.28, array([5], dtype=int64))"
32260,1102,72,"(1102, 0.28, array([3], dtype=int64))"
32261,1102,14,"(1102, 0.28, array([3], dtype=int64))"
32262,1102,194,"(1102, 0.28, array([1], dtype=int64))"
32263,1102,75,"(1102, 0.28, array([2], dtype=int64))"
32264,1102,153,"(1102, 0.28, array([3], dtype=int64))"
32265,1102,84,"(1102, 0.28, array([2], dtype=int64))"
32266,1102,16,"(1102, 0.28, array([2], dtype=int64))"
32267,1102,145,"(1102, 0.28, array([3], dtype=int64))"
32268,1102,29,"(1102, 0.28, array([3], dtype=int64))"
32269,1102,31,"(1102, 0.28, array([2], dtype=int64))"
32270,1102,102,"(1102, 0.28, array([3], dtype=int64))"
32271,1102,101,"(1102, 0.28, array([3], dtype=int64))"
32272,1102,107,"(1102, 0.28, array([2], dtype=int64))"
32273,1102,104,"(1102, 0.28, array([3], dtype=int64))"
32274,1102,55,"(1102, 0.28, array([3], dtype=int64))"
32275,1102,59,"(1102, 0.28, array([3], dtype=int64))"
32276,1102,58,"(1102, 0.28, array([2], dtype=int64))"
32277,1102,176,"(1102, 0.28, array([2], dtype=int64))"
32278,1102,56,"(1102, 0.28, array([2], dtype=int64))"
32279,1102,62,"(1102, 0.28, array([2], dtype=int64))"
32280,1102,180,"(1102, 0.28, array([2], dtype=int64))"
32281,549,2,"(549, 0.28, array([0], dtype=int64))"
32282,549,138,"(549, 0.28, array([0], dtype=int64))"
32283,549,71,"(549, 0.28, array([0], dtype=int64))"
32284,549,142,"(549, 0.28, array([0], dtype=int64))"
32285,549,84,"(549, 0.28, array([0], dtype=int64))"
32286,549,153,"(549, 0.28, array([0], dtype=int64))"
32287,549,86,"(549, 0.28, array([0], dtype=int64))"
32288,549,20,"(549, 0.28, array([0], dtype=int64))"
32289,549,80,"(549, 0.28, array([0], dtype=int64))"
32290,549,83,"(549, 0.28, array([0], dtype=int64))"
32291,549,24,"(549, 0.28, array([0], dtype=int64))"
32292,549,148,"(549, 0.28, array([0], dtype=int64))"
32293,549,34,"(549, 0.28, array([0], dtype=int64))"
32294,549,169,"(549, 0.28, array([0], dtype=int64))"
32295,549,39,"(549, 0.28, array([0], dtype=int64))"
32296,549,160,"(549, 0.28, array([0], dtype=int64))"
32297,549,47,"(549, 0.28, array([0], dtype=int64))"
32298,549,164,"(549, 0.28, array([0], dtype=int64))"
32299,549,45,"(549, 0.28, array([0], dtype=int64))"
32300,549,51,"(549, 0.28, array([0], dtype=int64))"
32301,549,116,"(549, 0.28, array([0], dtype=int64))"
32302,549,185,"(549, 0.28, array([0], dtype=int64))"
32303,549,115,"(549, 0.28, array([0], dtype=int64))"
32304,549,188,"(549, 0.28, array([0], dtype=int64))"
32305,549,112,"(549, 0.28, array([0], dtype=int64))"
32306,549,179,"(549, 0.28, array([0], dtype=int64))"
32307,549,176,"(549, 0.28, array([0], dtype=int64))"
32308,549,125,"(549, 0.28, array([0], dtype=int64))"
32309,549,183,"(549, 0.28, array([0], dtype=int64))"
32310,549,121,"(549, 0.28, array([0], dtype=int64))"
32311,1641,69,"(1641, 0.06, array([5], dtype=int64))"
32312,1641,139,"(1641, 0.06, array([5], dtype=int64))"
32313,1641,3,"(1641, 0.06, array([2], dtype=int64))"
32314,1641,5,"(1641, 0.06, array([3], dtype=int64))"
32315,1641,6,"(1641, 0.06, array([2], dtype=int64))"
